INDUSTRIA,DESCRIPCIÓN DE INDUSTRIA,TEMA,PARÁMETRO DE CONTABILIDAD,CATEGORÍA,UNIDAD DE MEDIDA,CÓDIGO
Fabricación de electrodomésticos,"El sector de la fabricación de electrodomésticos incluye empresas dedicadas al diseño y la fabricación de electrodomésticos y herramientas manuales. El sector vende y fabrica productos en todo el mundo, y principalmente vende productos a los consumidores en puntos de venta minoristas. Less",Seguridad de los productos,Importe total de las pérdidas monetarias como resultado de los procedimientos judiciales relacionados con la seguridad de los productos³,Cuantitativo,Divisa para comunicar,CG-AM-250a.3
Fabricación de electrodomésticos,"El sector de la fabricación de electrodomésticos incluye empresas dedicadas al diseño y la fabricación de electrodomésticos y herramientas manuales. El sector vende y fabrica productos en todo el mundo, y principalmente vende productos a los consumidores en puntos de venta minoristas. Less",Efectos medioambientales del ciclo de vida de los productos,"Porcentaje de productos aptos, por ingresos, certificados por el programa ENERGY STAR®",Cuantitativo,Porcentaje (%) por ingreso,CG-AM-410a.1
Fabricación de electrodomésticos,"El sector de la fabricación de electrodomésticos incluye empresas dedicadas al diseño y la fabricación de electrodomésticos y herramientas manuales. El sector vende y fabrica productos en todo el mundo, y principalmente vende productos a los consumidores en puntos de venta minoristas. Less",Efectos medioambientales del ciclo de vida de los productos,Porcentaje de productos aptos certificados según un estándar de sostenibilidad de la Asociación de Fabricantes de Electrodomésticos (AHAM),Cuantitativo,Porcentaje (%) por ingreso,CG-AM-410a.2
Fabricación de electrodomésticos,"El sector de la fabricación de electrodomésticos incluye empresas dedicadas al diseño y la fabricación de electrodomésticos y herramientas manuales. El sector vende y fabrica productos en todo el mundo, y principalmente vende productos a los consumidores en puntos de venta minoristas. Less",Efectos medioambientales del ciclo de vida de los productos,Descripción de los esfuerzos para gestionar los efectos de la vida útil de los productos,Debate y análisis,n/a,CG-AM-410a.3
Fabricación de electrodomésticos,"El sector de la fabricación de electrodomésticos incluye empresas dedicadas al diseño y la fabricación de electrodomésticos y herramientas manuales. El sector vende y fabrica productos en todo el mundo, y principalmente vende productos a los consumidores en puntos de venta minoristas. Less",Producción anual4,Producción anual4,Cuantitativo,Número de unidades,CG-AM-000.A
Productos de construcción y mobiliario,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Gestión de la energía en la fabricación,"(1) Total de energía consumida, (2) porcentaje de electricidad de la red, (3) porcentaje de renovables",Cuantitativo,"Gigajulios (GJ), porcentaje (%)",CG-BF-130a.1
Productos de construcción y mobiliario,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Gestión de sustancias químicas en los productos,Análisis de los procesos para evaluar y gestionar los riesgos o peligros asociados a las sustancias químicas en los productos,Debate y análisis,n/a,CG-BF-250a.1
Productos de construcción y mobiliario,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Gestión de sustancias químicas en los productos,Porcentaje de productos aptos que cumplen con los estándares de emisiones y referentes al contenido de compuestos orgánicos volátiles (COV),Cuantitativo,Porcentaje (%) por ingreso,CG-BF-250a.2
Productos de construcción y mobiliario,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Efectos medioambientales del ciclo de vida de los productos,Descripción de los esfuerzos para gestionar los efectos del ciclo de vida de los productos y satisfacer la demanda de productos sostenibles,Debate y análisis,n/a,CG-BF-410a.1
Productos de construcción y mobiliario,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Efectos medioambientales del ciclo de vida de los productos,"(1) Peso del material recuperado al final de su vida útil, (2) porcentaje de materiales recuperados reciclados",Cuantitativo,"Toneladas métricas (t), porcentaje (%) por peso",CG-BF-410a.2
Productos de construcción y mobiliario,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Gestión de la cadena de suministro de madera,"(1) Peso total de los materiales de fibra de madera adquiridos, (2) porcentaje de bosques certificados por terceros, (3) porcentaje según otros estándares de fibra de madera, (5) porcentaje por estándar²",Cuantitativo,"Toneladas métricas (t), porcentaje (%) por peso",CG-BF-430a.1
Productos de construcción y mobiliario,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Producción anual³,Producción anual³,Cuantitativo,Véase nota,CG-BF-000.A
Productos de construcción y mobiliario,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Área de las instalaciones de fabricación⁴,Área de las instalaciones de fabricación⁴,Cuantitativo,Metros cuadrados (m²),CG-BF-000.B
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Infraestructura de hardware. Gestión de la energía y el agua,"(1) Total de energía consumida, (2) porcentaje de electricidad de la red, (3) porcentaje de renovables",Cuantitativo,"Gigajulios (GJ), porcentaje (%)",CG-EC-130a.1
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Infraestructura de hardware. Gestión de la energía y el agua,"(1) Total de agua extraída, (2) total de agua consumida, porcentaje de cada una en regiones con un estrés hídrico inicial alto o extremadamente alto",Cuantitativo,"Mil metros cúbicos (m³), porcentaje (%)",CG-EC-130a.2
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Infraestructura de hardware. Gestión de la energía y el agua,Análisis de la integración de las consideraciones ambientales en la planificación estratégica para las necesidades del centro de datos,Debate y análisis,n/a,CG-EC-130a.3
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Estándares publicitarios y de protección de datos,Número de usuarios cuya información se utiliza con propósitos secundarios,Cuantitativo,Número,CG-EC-220a.1
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Estándares publicitarios y de protección de datos,Descripción de las políticas y las prácticas relacionadas con la publicidad basada en el comportamiento y la privacidad del usuario,Debate y análisis,n/a,CG-EC-220a.2
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Seguridad de los datos,Descripción del enfoque para identificar y abordar los riesgos para la seguridad de los datos,Debate y análisis,n/a,CG-EC-230a.1
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Seguridad de los datos,"(1) Número de filtraciones de datos, (2) porcentaje que implica información de identificación personal (PII), (3) número de usuarios afectados²",Cuantitativo,"Número, porcentaje (%)",CG-EC-230a.2
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less","Contratación, inclusión y rendimiento de los empleados",Implicación de los empleados expresada en forma de porcentaje³,Cuantitativo,Porcentaje (%),CG-EC-330a.1
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less","Contratación, inclusión y rendimiento de los empleados",Tasa de reemplazo (1) voluntaria e (2) involuntaria para todos los empleados,Cuantitativo,Velocidad,CG-EC-330a.2
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less","Contratación, inclusión y rendimiento de los empleados","Porcentaje de representación de géneros y grupos raciales/étnicos en (1) la dirección, (2) el personal técnico y (3) todos los demás empleados",Cuantitativo,Porcentaje (%),CG-EC-330a.3
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less","Contratación, inclusión y rendimiento de los empleados",Porcentaje del personal técnico que son titulares de un visado H-1B,Cuantitativo,Porcentaje (%),CG-EC-330a.4
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Embalaje y distribución del producto,Huella total de gases de efecto invernadero (GEI) de los envíos de productos,Cuantitativo,Toneladas métricas (t) de CO2-e,CG-EC-410a.1
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Embalaje y distribución del producto,Análisis de las estrategias para reducir el impacto ambiental de productos en la fase de entrega,Debate y análisis,n/a,CG-EC-410a.2
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Medida de la actividad de los usuarios definida por la entidad⁵,Medida de la actividad de los usuarios definida por la entidad⁵,Cuantitativo,Número,CG-EC-000.A
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less","Capacidad de procesamiento de datos, porcentaje subcontratado⁶","Capacidad de procesamiento de datos, porcentaje subcontratado⁶",Cuantitativo,Véase nota,CG-EC-000.B
Comercio electrónico,"El sector de los productos de construcción y mobiliario abarca empresas dedicadas al diseño y la fabricación de productos que introducen mejoras en el hogar, mobiliario para el hogar y la oficina, así como materiales de construcción de madera estructural. Los productos del sector incluyen suelos, tejas, muebles y accesorios para el hogar y la oficina, vigas de madera, madera contrachapada, paneles y tablas de madera. Las empresas suelen vender sus productos a través de canales de distribución a tiendas minoristas o a través de concesionarios independientes o propiedad de la empresa. Less",Número de envíos,Número de envíos,Cuantitativo,Número,CG-EC-000.C
Productos de cuidado personal y para el hogar,"El sector de productos de cuidado personal y para el hogar incluye empresas que fabrican una amplia gama de bienes para el consumo personal y comercial, como cosméticos, productos de limpieza del hogar y la industria, jabones y detergentes, papel higiénico, pilas para el hogar, cuchillas o utensilios de cocina. Las empresas de productos de cuidado personal y para el hogar operan a nivel mundial y suelen vender sus productos a mayoristas, tiendas de comestibles, tiendas de clubes de socios, farmacias, quioscos, distribuidores y minoristas de comercio electrónico. Algunas empresas venden sus productos a través de representantes independientes en lugar de establecimientos minoristas de terceros. Less",Gestión del agua,"(1) Total de agua extraída, (2) total de agua consumida, porcentaje de cada una en regiones con un estrés hídrico inicial alto o extremadamente alto",Cuantitativo,"Mil metros cúbicos (m³), porcentaje (%)",CG-HP-140a.1
Productos de cuidado personal y para el hogar,"El sector de productos de cuidado personal y para el hogar incluye empresas que fabrican una amplia gama de bienes para el consumo personal y comercial, como cosméticos, productos de limpieza del hogar y la industria, jabones y detergentes, papel higiénico, pilas para el hogar, cuchillas o utensilios de cocina. Las empresas de productos de cuidado personal y para el hogar operan a nivel mundial y suelen vender sus productos a mayoristas, tiendas de comestibles, tiendas de clubes de socios, farmacias, quioscos, distribuidores y minoristas de comercio electrónico. Algunas empresas venden sus productos a través de representantes independientes en lugar de establecimientos minoristas de terceros. Less",Gestión del agua,Descripción de los riesgos de la gestión del agua y análisis de las estrategias y las prácticas para mitigarlos,Debate y análisis,n/a,CG-HP-140a.2
Productos de cuidado personal y para el hogar,"El sector de productos de cuidado personal y para el hogar incluye empresas que fabrican una amplia gama de bienes para el consumo personal y comercial, como cosméticos, productos de limpieza del hogar y la industria, jabones y detergentes, papel higiénico, pilas para el hogar, cuchillas o utensilios de cocina. Las empresas de productos de cuidado personal y para el hogar operan a nivel mundial y suelen vender sus productos a mayoristas, tiendas de comestibles, tiendas de clubes de socios, farmacias, quioscos, distribuidores y minoristas de comercio electrónico. Algunas empresas venden sus productos a través de representantes independientes en lugar de establecimientos minoristas de terceros. Less",Desempeño del producto en materia de salud y seguridad,Ingresos de productos que contienen sustancias extremadamente preocupantes (SEP) según el reglamento REACH,Cuantitativo,Divisa para comunicar,CG-HP-250a.1
Productos de cuidado personal y para el hogar,"El sector de productos de cuidado personal y para el hogar incluye empresas que fabrican una amplia gama de bienes para el consumo personal y comercial, como cosméticos, productos de limpieza del hogar y la industria, jabones y detergentes, papel higiénico, pilas para el hogar, cuchillas o utensilios de cocina. Las empresas de productos de cuidado personal y para el hogar operan a nivel mundial y suelen vender sus productos a mayoristas, tiendas de comestibles, tiendas de clubes de socios, farmacias, quioscos, distribuidores y minoristas de comercio electrónico. Algunas empresas venden sus productos a través de representantes independientes en lugar de establecimientos minoristas de terceros. Less",Desempeño del producto en materia de salud y seguridad,Ingresos de productos que contienen sustancias incluidas en la lista de sustancias químicas candidatas a estar sujetas al control de sustancias tóxicas (DTSC) de California,Cuantitativo,Divisa para comunicar,CG-HP-250a.2
Productos de cuidado personal y para el hogar,"El sector de productos de cuidado personal y para el hogar incluye empresas que fabrican una amplia gama de bienes para el consumo personal y comercial, como cosméticos, productos de limpieza del hogar y la industria, jabones y detergentes, papel higiénico, pilas para el hogar, cuchillas o utensilios de cocina. Las empresas de productos de cuidado personal y para el hogar operan a nivel mundial y suelen vender sus productos a mayoristas, tiendas de comestibles, tiendas de clubes de socios, farmacias, quioscos, distribuidores y minoristas de comercio electrónico. Algunas empresas venden sus productos a través de representantes independientes en lugar de establecimientos minoristas de terceros. Less",Desempeño del producto en materia de salud y seguridad,Análisis del proceso de identificación y gestión de nuevos materiales y sustancias químicas de interés,Debate y análisis,n/a,CG-HP-250a.3
